Date,Open,High,Low,Close,Vol,OI
11/21/08,884.2,941.2,880.9,930.2,166331,92157
11/24/08,940.4,968.5,924.6,957.9,137248,65260
11/25/08,960.1,971.9,941.4,956.9,143764,34498
11/26/08,957.5,960.4,945.2,946.9,47921,16053
11/27/08,949.5,954.4,946.7,952,1452,16053
11/28/08,949.5,957.4,946.6,954.6,6317,7324
12/1/08,955.6,955.7,904.4,913,2764,162698
12/2/08,905,924.4,898,919.5,72411,161027
12/3/08,919.8,920.2,900.3,906.7,75758,160014
12/4/08,911.2,926.2,899.2,901.7,84941,158950
12/5/08,902.9,909.5,877.4,888.4,98016,157728
12/8/08,891.4,919,890.3,905.5,75002,157235
12/9/08,908.9,916.9,898.7,910.4,67093,155545
12/10/08,912.9,950.1,910.4,945,127576,161612
12/11/08,945.8,971.5,938.7,962.8,97840,165945
12/12/08,956.2,965.9,943.7,956.7,87329,169405
12/15/08,961.2,979.9,957.2,972.7,87149,172656
12/16/08,974.4,997,966.4,978.9,87571,174470
12/17/08,996.2,1019.8,983.4,1004.7,127576,182905
12/18/08,1002.3,1015.8,985,996.8,104164,183290
12/19/08,989.8,991.1,966.3,973.6,69655,182767
12/22/08,975.6,989.2,972.9,983.4,50271,182149
12/23/08,985.2,986,966,974.3,44856,180207
12/24/08,976.7,985.8,971.6,984.2,20075,183146
12/25/08,984.2,984.2,984.2,984.2,0,183146
12/26/08,983.7,1010.2,979.6,1007.4,22724,187583
12/29/08,1009.2,1028.2,1009.2,1011.5,68559,189961
12/30/08,1018.8,1022.1,1000.9,1006.2,47050,190366
12/31/08,1010.9,1022.2,993.5,1020.5,44754,193135
1/2/09,1019.2,1025.3,1004.3,1015.7,41221,193338
1/5/09,1016.9,1021.7,979.7,994,88717,195034
1/6/09,995.3,1007.6,975,1002.2,93826,197733
1/7/09,1000.4,1004,972.2,977.9,110394,196517
1/8/09,979.4,1001.5,972.9,990.7,100949,190237
1/9/09,994,1005.5,981.2,991.2,106498,188494
1/12/09,992.3,993.7,951.3,957,132306,168479
1/13/09,957.7,967.6,950.2,957.4,98866,162927
1/14/09,958,966.1,942.8,945,117221,151539
1/15/09,946.5,958.3,937.7,954.2,134944,132085
1/16/09,953.2,979.8,951.9,979.6,105205,132309
1/19/09,980.3,982.5,967.8,971.2,105205,132309
1/20/09,971,1002.8,959.8,993.2,169398,134121
1/21/09,993.6,1000.8,979.2,990.2,123210,129265
1/22/09,990.2,999.4,979.7,993.4,107559,121825
1/23/09,993.4,1040,988.3,1034.9,197174,112645
1/26/09,1035.1,1052.5,1025.2,1039.6,148370,86635
1/27/09,1039.1,1043.8,1028.4,1034.6,113675,62282
1/28/09,1035.7,1039.6,1018.2,1023.5,137271,32820
1/29/09,1024.3,1045.9,1010.4,1045.9,66607,12836
1/30/09,1045.9,1066.2,1038,1064.7,129072,227490
2/2/09,1061.9,1063.9,1037,1040.6,96273,232834
2/3/09,1039.3,1049.2,1025.2,1036.7,107990,230753
2/4/09,1036,1045.8,1031.1,1041.4,75619,229609
2/5/09,1041.3,1061.2,1038.3,1050.3,100190,230222
2/6/09,1050.1,1056.8,1040.3,1046.7,77397,232174
2/9/09,1047.9,1048.3,1026.8,1030.7,81739,230254
2/10/09,1030.8,1054.6,1026.9,1049.1,114810,230381
2/11/09,1051.1,1083.9,1046.9,1075.2,172829,235894
2/12/09,1074.3,1088.9,1071.4,1083.6,124887,238119
2/13/09,1081.5,1081.8,1067.9,1077.2,77272,231060
2/17/09,1075.7,1110.3,1072.2,1105.7,137885,235163
2/18/09,1105.1,1123.6,1096.5,1119.7,117775,239594
2/19/09,1121.9,1122.8,1104.4,1109.7,116161,236384
2/20/09,1108.1,1142.6,1106.4,1128.1,163165,243177
2/23/09,1129.2,1134.5,1111.1,1127.8,111088,245518
2/24/09,1127,1131.9,1095.1,1099.1,156165,248989
2/25/09,1097.4,1114.6,1080.1,1088.3,140321,250082
2/26/09,1088.5,1092.5,1067.1,1081.4,133178,251833
2/27/09,1081.9,1098.9,1061.9,1075.1,148526,251833
3/2/09,1075.2,1094.4,1055.9,1061.3,124350,240242
3/3/09,1062.9,1065.8,1040.6,1048.5,130261,235444
3/4/09,1051.4,1053.3,1035.3,1041.6,95671,233410
3/5/09,1041.7,1072.4,1041.1,1062.7,97258,232101
3/6/09,1069.1,1080.4,1065.5,1077.6,95387,228571
3/9/09,1076.1,1077.7,1046,1052.9,98182,225618
3/10/09,1057.8,1058,1026,1030.8,125270,212305
3/11/09,1031,1048.7,1027.5,1045.6,87664,207600
3/12/09,1041.6,1066.5,1041.2,1058.9,107134,210808
3/13/09,1062.3,1076,1054.5,1065,87717,206233
3/16/09,1063.2,1065.5,1050.2,1056.9,75072,194727
3/17/09,1059.4,1060.2,1047.3,1051.7,65602,189305
3/18/09,1050.1,1085,1017.6,1024,212656,177880
3/19/09,1076.5,1098.4,1060.9,1093.7,156601,178780
3/20/09,1094.1,1102.7,1081.6,1091.1,96597,169060
3/23/09,1085.4,1093,1070.9,1087.4,87619,154200
3/24/09,1073.3,1079.5,1051.8,1058.7,135046,122631
